Rank,DonorName,CountryCode,IsOdsg,Earmarked,UnEarmarked,Total
1,"United Kingdom","GBR",true,1595696,27504091,29099787
2,"Sweden","SWE",true,14708768,12755111,27463879
3,"European Commission","EU",true,23322524,0,23322524
4,"Germany","DEU",true,11604421,5468321,17072742
5,"Norway","NOR",true,2951982,13325735,16277717
6,"Denmark","DNK",true,0,9779237,9779237
7,"Qatar","QAT",true,1142577,8000000,9142577
8,"Netherlands","NLD",true,0,8027523,8027523
9,"Australia","AUS",true,2308548,5617140,7925688
10,"Canada","CAN",true,5856184,1443389,7299573
11,"Belgium","BEL",true,0,6590909,6590909
12,"Italy","ITA",true,6453476,0,6453476
13,"Ireland","IRL",true,439547,5926724,6366271
14,"Switzerland","CHE",true,426693,5518764,5945457
15,"Korea, Republic of","KOR",true,1000000,4478731,5478731
16,"Poland","POL",true,3179472,0,3179472
17,"New Zealand","NZL",true,0,2985342,2985342
18,"Spain","ESP",true,2837685,0,2837685
19,"Finland","FIN",true,0,2604167,2604167
20,"Austria","AUT",true,2245394,294725,2540119
21,"France","FRA",true,1760563,585480,2346043
22,"Saudi Arabia","SAU",true,1499985,499985,1999970
23,"Japan","JPN",true,1695000,200755,1895755
24,"Luxembourg","LUX",true,0,1716913,1716913
25,"Iceland","ISL",true,0,1254150,1254150
26,"Portugal","PRT",true,973363,0,973363
27,"Russian Federation","RUS",true,0,900000,900000
28,"Turkey","TUR",true,390000,500000,890000
29,"United States","USA",true,818000,0,818000
30,"Estonia","EST",true,431500,161812,593312
31,"Cyprus","CYP",false,456364,75567,531931
32,"Jersey","JEY",false,401876,0,401876
33,"Greece","GRC",false,347357,0,347357
34,"Malta","MLT",false,122081,0,122081
35,"Bulgaria","BGR",false,93148,0,93148
36,"Monaco","MCO",false,0,58754,58754
37,"Singapore","SGP",false,0,50000,50000
37,"Private Contributions","PRI_CON",false,0,50000,50000
39,"Latvia","LVA",false,39903,0,39903
40,"Philippines","PHL",false,10000,0,10000
