Rank,DonorName,CountryCode,IsOdsg,Earmarked,UnEarmarked,Total,FlagCode
1,United Kingdom,GBR,True,1595696,27504091,29099787,:gb:
2,Sweden,SWE,True,14708768,12755111,27463879,:se:
3,European Commission,EU,True,23322524,0,23322524,:eu:
4,Germany,DEU,True,11604421,5468321,17072742,:de:
5,Norway,NOR,True,2951982,13325735,16277717,:no:
6,Denmark,DNK,True,0,9779237,9779237,:dk:
7,Qatar,QAT,True,1142577,8000000,9142577,:qa:
8,Netherlands,NLD,True,0,8027523,8027523,:nl:
9,Australia,AUS,True,2242485,5617140,7859625,:au:
10,Canada,CAN,True,5856184,1443389,7299573,:ca:
11,Belgium,BEL,True,0,6590909,6590909,:be:
12,Italy,ITA,True,6453476,0,6453476,:it:
13,Ireland,IRL,True,439547,5926724,6366271,:ie:
14,Switzerland,CHE,True,424019,5518764,5942783,:ch:
15,"Korea, Republic of",KOR,True,1000000,4478731,5478731,:kr:
16,Poland,POL,True,3179472,0,3179472,:pl:
17,New Zealand,NZL,True,0,2985342,2985342,:nz:
18,Spain,ESP,True,2837685,0,2837685,:es:
19,Finland,FIN,True,0,2604167,2604167,:fi:
20,Austria,AUT,True,2245394,294725,2540119,:at:
21,France,FRA,True,1760563,585480,2346043,:fr:
22,Saudi Arabia,SAU,True,1499985,499985,1999970,:sa:
23,Japan,JPN,True,1695000,200755,1895755,:jp:
24,Luxembourg,LUX,True,0,1716913,1716913,:lu:
25,Iceland,ISL,True,0,1254150,1254150,:is:
26,Portugal,PRT,True,973363,0,973363,:pt:
27,Russian Federation,RUS,True,0,900000,900000,:ru:
28,Turkey,TUR,True,390000,500000,890000,:tr:
29,United States,USA,True,818000,0,818000,:us:
30,Estonia,EST,True,431500,161812,593312,:ee:
31,Cyprus,CYP,False,456364,75567,531931,:cy:
32,Jersey,JEY,False,401876,0,401876,:je:
33,Greece,GRC,False,347357,0,347357,:gr:
34,Malta,MLT,False,122081,0,122081,:mt:
35,Bulgaria,BGR,False,93148,0,93148,:bg:
36,Monaco,MCO,False,0,58754,58754,:mc:
37,Singapore,SGP,False,0,50000,50000,:sg:
37,Private Contributions,PRI_CON,False,0,50000,50000,
39,Latvia,LVA,False,39903,0,39903,:lv:
40,Philippines,PHL,False,10000,0,10000,:ph:
